TIME,FPR,"BPR:(12,12,1)",FOPR,FGPR,FOPT,FGPT,FGOR,WBHP:PWELL01
0,4500,4500,0,0,0,0,0,4500
1,4493.7119,3875.2332,7316.0439,226798.83,7316.0439,226798.83,31.0002,2000
4,4477.0142,3660.2776,6466.1533,200452.03,26714.504,828154.94,31.0002,2000
10,4445.627,3561.4639,6076.4424,188370.92,63173.156,1958380.5,31.0002,2000
20,4395.6016,3493.9597,5810.5669,180128.73,121278.83,3759667.8,31.0002,2000
30,4347.04,3450.7393,5640.4883,174856.27,177683.7,5508230.5,31.0002,2000
40,4299.6582,3415.8936,5503.4507,170608.08,232718.22,7214311,31.0002,2000
50,4254.0967,3397.7522,5399.6963,167594.09,286715.19,8890252,31.037687,2000
60,4210.7427,3391.4409,5296.8638,164860.77,339683.81,10538860,31.124224,2000
70,4169.1191,3381.6941,5161.8896,161172.02,391302.72,12150580,31.223454,2000
80,4128.959,3369.2209,5012.0117,156964.69,441422.81,13720227,31.317703,2000
90,4089.9851,3353.0928,4855.9541,152785.64,489982.38,15248083,31.46357,2000
100,4051.782,3330.8867,4700.2881,149169.16,536985.25,16739775,31.736176,2000
110,4014.2317,3306.3025,4556.8013,145280.89,582553.25,18192584,31.882206,2000
120,3977.3208,3281.5972,4429.1543,141449.97,626844.81,19607084,31.93611,2000
130,3941.083,3257.8862,4315.7944,137824.02,670002.75,20985324,31.934799,2000
140,3905.8247,3240.0022,4219.0771,134827.55,712193.5,22333600,31.956642,2000
150,3871.5938,3224.4241,4124.7964,132014.16,753441.5,23653740,32.005009,2000
160,3838.2319,3207.4998,4026.6138,129308.61,793707.63,24946826,32.113487,2000
170,3805.6016,3189.0164,3928.1179,126693.48,832988.81,26213762,32.252972,2000
180,3773.6489,3169.9836,3832.7734,123915.97,871316.56,27452922,32.330627,2000
190,3742.4805,3151.439,3745.5803,121143.57,908772.31,28664356,32.343071,2000
200,3713.5923,3137.5093,3699.9663,118937.83,945772,29853736,32.145653,2000
210,3686.4597,3127.3713,3672.3459,117311.59,982495.44,31026850,31.944592,2000
220,3661.1321,3119.9016,3650.9971,116125.16,1019005.4,32188102,31.806423,2000
230,3637.7534,3114.343,3632.2449,115258.75,1055327.9,33340690,31.732098,2000
240,3615.9724,3109.3904,3607.4858,114522.91,1091402.8,34485920,31.745909,2000
250,3595.4583,3105.603,3572.1494,114027.08,1127124.3,35626188,31.921139,2000
260,3576.0034,3100.5825,3522.0122,113372.95,1162344.4,36759920,32.189819,2000
