TIME,WBHP:PWELL01,"BPR:(12,12,1)",FPR,FOPR,FGPR,FGOR
0,4500,4500,4500,0,0,0
1,3476.7046,4243.3755,4497.417,3000,93000.602,31.0002
4,3348.7478,4116.2061,4489.6685,3000,93000.602,31.0002
10,3274.958,4042.8706,4474.1714,3000,93000.602,31.0002
20,3219.0039,3987.2615,4448.3428,3000,93000.602,31.0002
30,3179.3462,3947.8486,4422.5142,3000,93000.602,31.0002
40,3149.1909,3917.8796,4396.6855,3000,93000.602,31.0002
50,3121.2708,3890.1321,4370.8569,3000,93000.602,31.0002
60,3094.311,3863.3389,4345.0283,3000,93000.602,31.0002
70,3067.7712,3836.9634,4319.1997,3000,93000.602,31.0002
80,3041.4529,3810.8076,4293.3711,3000,93000.602,31.0002
90,3015.2439,3784.761,4267.542,3000,93000.602,31.0002
100,2989.0925,3758.7712,4241.7134,3000,93000.602,31.0002
110,2962.97,3732.8105,4215.8848,3000,93000.602,31.0002
120,2936.8625,3706.865,4190.0562,3000,93000.602,31.0002
130,2910.7629,3680.9272,4164.2275,3000,93000.602,31.0002
140,2884.6672,3654.9934,4138.3989,3000,93000.602,31.0002
150,2858.5735,3629.0613,4112.5703,3000,93000.602,31.0002
160,2832.4805,3603.1306,4086.7417,3000,93000.602,31.0002
170,2806.3882,3577.2002,4060.9131,3000,93000.602,31.0002
180,2780.2959,3551.27,4035.0845,3000,93000.602,31.0002
190,2754.2039,3525.3398,4009.2559,3000,93000.602,31.0002
200,2728.1116,3499.4099,3983.4272,3000,93000.602,31.0002
210,2702.0193,3473.48,3957.5986,3000,93000.602,31.0002
220,2675.9268,3447.5498,3931.7698,3000,93000.602,31.0002
230,2649.8342,3421.6199,3905.9412,3000,93000.602,31.0002
240,2626.6726,3399.6028,3880.3157,3000,93026.906,31.008968
250,2615.7053,3396.4514,3856.042,3000,93228.305,31.076101
260,2596.8391,3390.4565,3832.7017,3000,93539.773,31.179924
270,2570.6572,3381.4351,3810.0603,3000,93925.672,31.308558
280,2537.6936,3369.2949,3787.9131,3000,94355.102,31.4517
290,2495.2361,3348.2209,3765.7275,3000,95919.82,31.973274
300,2446.9294,3320.3853,3743.1746,3000,97217.516,32.405838
310,2396.4978,3288.0337,3720.0681,3000,98081.758,32.693916
320,2346.2415,3251.999,3696.2822,3000,98830.828,32.943611
330,2305.5974,3225.4314,3672.4268,3000,99805.859,33.26862
340,2271.7119,3200.1792,3649.2942,3000,99928.469,33.30949
350,2251.1687,3179.9307,3627.595,3000,99093.43,33.031143
360,2241.479,3165.7817,3607.4131,3000,97906.773,32.635593
370,2238.3752,3156.8865,3588.7571,3000,96793.445,32.264481
380,2236.356,3151.1218,3571.3315,3000,96081.969,32.027325
390,2232.0139,3146.4631,3554.9541,3000,95848.453,31.949486
400,2223.4084,3143.1638,3539.3542,3000,96365.945,32.121983
410,2207.6963,3137.4644,3524.3984,3000,97347.734,32.449245
420,2186.3857,3129.1284,3510.49,3000,98542.414,32.847473
430,2161.9927,3118.6494,3497.8391,3000,99700.148,33.233383
440,2136.9683,3106.4763,3486.3179,3000,100688.31,33.562771
450,2113.5452,3092.9778,3475.6736,3000,101580.55,33.860184
460,2093.4211,3079.7917,3465.7346,3000,101954.46,33.984821
470,2077.2664,3067.9126,3456.687,3000,101947.14,33.98238
480,2064.8545,3057.762,3448.5498,3000,101709.25,33.903084
490,2055.606,3049.4724,3441.28,3000,101373.32,33.791107
500,2048.5017,3042.8027,3434.7622,3000,101049.48,33.683159
510,2042.624,3037.7522,3429.1555,3000,100873.71,33.624569
520,2036.6573,3033.4319,3424.0691,3000,100854.77,33.618259
530,2029.9624,3029.3286,3419.4797,3000,100978.34,33.659447
540,2022.2632,3025.0869,3415.6169,3000,101209.04,33.736347
550,2013.576,3020.5146,3412.303,3000,101502.72,33.83424
560,2004.11,3015.5601,3409.4287,3000,101816.52,33.938839
570,2000,3010.7434,3406.9829,2986.0999,101583.92,34.018932
580,2000,3006.7378,3404.9011,2965.7839,101025.84,34.063789
590,2000,3003.3081,3403.1548,2948.606,100543.16,34.098537
600,2000,3000.2224,3401.6582,2933.0293,100108.55,34.131451
610,2000,2997.3455,3400.386,2918.4495,99739.609,34.175549
620,2000,2994.3923,3399.3433,2904.4182,99352.594,34.207397
630,2000,2991.5886,3398.5061,2891.5366,98979.602,34.230797
640,2000,2988.9231,3397.8013,2879.7104,98619.953,34.246483
650,2000,2986.3997,3397.23,2868.8701,98275.203,34.255714
660,2000,2984.0149,3396.7319,2858.9292,97945.93,34.259655
670,2000,2981.7712,3396.3193,2849.7852,97633.734,34.260033
680,2000,2979.6951,3395.99,2841.4492,97343.453,34.258381
690,2000,2977.844,3395.7026,2834.0393,97084.406,34.25655
700,2000,2976.1514,3395.4595,2826.98,96850.461,34.259338
710,2000,2974.5625,3395.2463,2819.9709,96634.867,34.268036
720,2000,2973.0291,3395.0562,2812.8352,96430.57,34.282337
730,2000,2971.5161,3394.8804,2805.5203,96231.773,34.300869
740,2000,2970.0039,3394.7144,2798.0569,96034.43,34.321827
750,2000,2968.4834,3394.5554,2790.5227,95836.133,34.343433
760,2000,2966.9541,3394.4004,2783.0115,95635.836,34.364151
770,2000,2965.4214,3394.2476,2775.6167,95433.5,34.382809
780,2000,2963.8926,3394.0957,2768.418,95229.75,34.398617
790,2000,2962.3765,3393.9446,2761.4758,95025.547,34.411148
800,2000,2960.8813,3393.7939,2754.8342,94822.016,34.420227
810,2000,2959.4146,3393.6433,2748.5374,94627.242,34.428215
820,2000,2957.9265,3393.4924,2742.5557,94442.563,34.43597
830,2000,2956.4768,3393.342,2736.9817,94257.078,34.438332
840,2000,2955.0801,3393.1914,2731.7908,94074.406,34.436897
850,2000,2953.739,3393.0413,2726.9268,93896.359,34.433033
860,2000,2952.45,3392.8911,2722.3296,93723.586,34.427715
870,2000,2951.2097,3392.7412,2717.9646,93556.086,34.421375
880,2000,2950.0156,3392.5916,2713.8044,93393.891,34.414375
890,2000,2948.8652,3392.4419,2709.823,93237.055,34.407063
900,2000,2947.7554,3392.2927,2705.9927,93085.555,34.39978
910,2000,2946.6826,3392.1436,2702.2856,92939.242,34.392826
920,2000,2945.6431,3391.9946,2698.6765,92797.836,34.386425
930,2000,2944.6328,3391.8459,2695.1426,92660.938,34.380718
940,2000,2943.6475,3391.6975,2691.666,92528.047,34.375755
950,2000,2942.6836,3391.5493,2688.2349,92398.672,34.371502
960,2000,2941.7378,3391.4011,2684.8428,92272.289,34.367855
970,2000,2940.8088,3391.2532,2681.4939,92148.453,34.364594
980,2000,2939.9045,3391.1086,2678.314,92026.297,34.359787
990,2000,2939.0378,3390.9648,2675.3684,91907.055,34.353046
1000,2000,2938.2185,3390.8213,2672.6541,91792.922,34.34523
1010,2000,2937.447,3390.678,2670.1157,91685.141,34.337517
