TIME,"BPR:(18,18,1)"
0,6018.3086
0.1,5951.6299
0.40000001,5917.8647
1.3,5893.9648
4,5871.6768
12.1,5841.5327
22.1,5811.3257
32.099998,5782.8135
42.099998,5754.4722
52.099998,5725.5664
62.099998,5697.6538
72.099998,5668.0298
82.099998,5640.0879
92.099998,5611.7524
102.1,5582.769
112.1,5554.9375
122.1,5525.9316
132.10001,5497.1465
142.10001,5468.8638
152.10001,5439.6626
162.10001,5412.0674
172.10001,5382.8467
182.10001,5353.9697
192.10001,5325.7212
202.10001,5296.312
212.10001,5268.0449
222.10001,5239.5342
232.10001,5210.519
242.10001,5182.374
252.10001,5152.6504
262.10001,5124.4863
272.10001,5095.9727
282.10001,5066.8203
292.10001,5038.7891
302.10001,5009.6167
312.10001,4980.665
322.10001,4952.186
332.10001,4922.8369
342.10001,4895.0142
352.10001,4865.6445
362.10001,4836.5947
372.10001,4808.1563
382.10001,4778.5918
391.04999,4753.9619
400,4727.4961
